"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Year >= 1900"",""Earthquake Magnitude >= 1"",""Deaths >= 1""]"																																						
	1931	3	31	16	2	0			"NICARAGUA:  MANAGUA"	13.2	-85.7		5.6		2450	4					15	3																
	1931	4	27	16	50	0			"ARMENIA:  ZANGEZUR, NAKHITCHEVAN"	39.2	46	22	6.3	8	2890	4						4																
	1931	8	10	21	18	43			"CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE:  N"	47.1	89.8	25	8	11	10000	4						4		4			10000	4						4		4		
	1931	9	21	2	20	0			"JAPAN:  HONSHU"	36.1	139.2	20	7		16	1						2																
	1931	11	2	10	2	0	1646		"JAPAN:  KYUSHU"	32	131.5	60	7.5		1	1							14	1			1	1							14	1		
	1932	2	3	6	16	2	1648		"CUBA: SANTIAGO DE CUBA"	19.706	-75.691	25	6.7	8	14	1			300	3		3					14	1			300	3		3				
	1932	3	6						"CHINA:  SICHUAN PROVINCE"	30.1	101.8		6	8	200	2						1		2			200	3						1		2		
	1932	4	6	9	11	18			"CHINA:  HUBEI PROVINCE"	31.4	115	15	6	8	6	1			27	1		2		3			6	1			27	1		2		3		
	1932	5	14	13	11	0			"INDONESIA:  SULAWESI:  KAKAS,LANGOWAN,POSO,TONDANO"	0.5	126		7.4	7	6	1			115	2		3	592	3			6	1			115	2		3	592	3		
	1932	5	20	19	16	0			"IRAN:  TORBET-I-KHEYDARLY"	36.6	53.4	12	5.4	8	1070	4						3																
	1932	6	3	10	36	58.9	1649		"MEXICO:  NEAR COAST OF JALISCO"	19.623	-103.919	35	8.1	10	400	3			120	3		3		3			400	3			120	3		3		3		
	1932	9	26	19	20	42	1655		"GREECE: HIERISSOS-STRANTONION (CHALKIDIKI)"	40.5	23.9	35	6.9	10	161	3			669	3		4	4106	4	3218	4	161	3			669	3		4	4106	4	3218	4
	1932	12	25	2	4	7			"CHINA:  GANSU PROVINCE"	39.7	96.7		7.6	10	275	3			320	3		3	1167	4			275	3			320	3		3	1167	4		
	1933	3	11	1	54	7.8	1662		"CALIFORNIA:  LONG BEACH"	33.62	-117.97	16	6.3	9	120	3					41	4					120	3					41	4				
	1933	4	23	5	57	35	1663		"GREECE:  DODECANESE ISLANDS"	36.759	27.299	15	6.4	10	181	3			600	3		3		2		2	181	3			600	3		3		2		2
